2026-07-28 22:48:13 | INFO | Scanning 192.168.1.20
2026-07-28 22:49:23 | INFO | 192.168.1.20 -> Risk=High Score=40
2026-07-28 22:49:23 | INFO | Inventory updated
2026-07-28 22:56:27 | INFO | Audit Engine Started
2026-07-28 22:56:27 | INFO | Target: 192.168.1.0/24
2026-07-28 22:56:30 | INFO | 2 active hosts discovered
2026-07-28 22:56:30 | INFO | Scanning 192.168.1.20
2026-07-28 22:57:43 | INFO | 192.168.1.20 -> Risk=High Score=40
2026-07-28 22:57:43 | INFO | Scanning 192.168.1.10
2026-07-28 22:59:46 | INFO | 192.168.1.10 -> Risk=Low Score=85
2026-07-28 22:59:46 | INFO | Inventory updated
2026-07-28 23:49:32 | INFO | Audit Engine Started
2026-07-28 23:49:32 | INFO | Target: 192.168.1.20
2026-07-28 23:49:49 | INFO | 1 active hosts discovered
2026-07-28 23:49:49 | INFO | Scanning 192.168.1.20
2026-07-28 23:50:58 | INFO | 192.168.1.20 -> Risk=High Score=40
2026-07-28 23:50:58 | INFO | Inventory updated
2026-08-05 19:56:37 | INFO | Audit Engine Started - Mode: full
2026-08-05 19:56:37 | INFO | Target: 192.168.1.20/24
2026-08-05 19:56:49 | INFO | 2 active hosts discovered
2026-08-05 19:56:49 | INFO | Scanning 192.168.1.20
2026-08-05 19:58:04 | INFO | Audit Engine Started - Mode: full
2026-08-05 19:58:04 | INFO | Target: 192.168.1.0/24
2026-08-05 19:58:12 | INFO | 2 active hosts discovered
2026-08-05 19:58:12 | INFO | Scanning 192.168.1.20
2026-08-05 19:59:26 | INFO | 192.168.1.20 -> Risk=High Score=40
2026-08-05 19:59:26 | INFO | Scanning 192.168.1.10
2026-08-05 20:00:39 | INFO | Audit Engine Started - Mode: full
2026-08-05 20:00:39 | INFO | Target: 192.168.1.0/24
2026-08-05 20:00:46 | INFO | 2 active hosts discovered
2026-08-05 20:00:46 | INFO | Scanning 192.168.1.20
2026-08-05 20:01:12 | INFO | Audit Engine Started - Mode: full
2026-08-05 20:01:12 | INFO | Target: 192.168.1.0/24
2026-08-05 20:01:29 | INFO | 2 active hosts discovered
2026-08-05 20:01:29 | INFO | Scanning 192.168.1.20
2026-08-05 20:02:42 | INFO | 192.168.1.20 -> Risk=High Score=40
2026-08-05 20:02:42 | INFO | Scanning 192.168.1.10
2026-08-05 20:06:10 | INFO | 192.168.1.10 -> Risk=Low Score=85
2026-08-05 20:06:10 | INFO | Inventory updated
2026-08-05 20:08:24 | INFO | Audit Engine Started - Mode: full
2026-08-05 20:08:24 | INFO | Target: 192.168.1.0/24
2026-08-05 20:08:31 | INFO | 2 active hosts discovered
2026-08-05 20:08:31 | INFO | Scanning 192.168.1.20
2026-08-05 20:09:45 | INFO | 192.168.1.20 -> Risk=High Score=40
2026-08-05 20:09:45 | INFO | Scanning 192.168.1.10
2026-08-05 20:11:24 | INFO | 192.168.1.10 -> Risk=Low Score=85
2026-08-05 20:11:24 | INFO | Inventory updated
2026-08-05 20:13:05 | INFO | Audit Engine Started - Mode: full
2026-08-05 20:13:05 | INFO | Target: 192.168.1.0/24
2026-08-05 20:13:15 | INFO | 2 active hosts discovered
2026-08-05 20:13:15 | INFO | Scanning 192.168.1.20
2026-08-05 20:14:42 | INFO | 192.168.1.20 -> Risk=High Score=40
2026-08-05 20:14:42 | INFO | Scanning 192.168.1.10
2026-08-05 20:18:06 | INFO | 192.168.1.10 -> Risk=Low Score=85
2026-08-05 20:18:06 | INFO | Inventory updated
2026-08-05 20:35:12 | INFO | Audit Engine Started - Mode: discovery
2026-08-05 20:35:12 | INFO | Target: 192.168.1.0/24
2026-08-05 20:35:12 | INFO | Mode: Host Discovery (nmap -sn)
2026-08-05 20:35:38 | INFO | 2 active hosts discovered
2026-08-05 20:36:51 | INFO | Audit Engine Started - Mode: discovery
2026-08-05 20:36:51 | INFO | Target: 192.168.1.0/24
2026-08-05 20:36:51 | INFO | Mode: Host Discovery (nmap -sn)
